Year, Article Count, Ref Count
1955,1,1
1956,0,0
1957,0,0
1958,0,0
1959,1,1
1960,0,0
1961,0,0
1962,0,0
1963,1,1
1964,2,2
1965,0,0
1966,0,0
1967,1,1
1968,3,3
1969,1,1
1970,1,1
1971,3,3
1972,1,1
1973,1,0
1974,1,1
1975,6,2
1976,4,0
1977,13,6
1978,4,0
1979,7,4
1980,8,3
1981,3,1
1982,4,1
1983,6,4
1984,6,2
1985,4,2
1986,5,3
1987,8,3
1988,9,6
1989,8,2
1990,12,5
1991,10,4
1992,13,6
1993,21,7
1994,20,8
1995,37,25
1996,63,21
1997,66,30
1998,78,49
1999,76,30
2000,136,73
2001,246,103
2002,500,98
2003,364,116
2004,497,143
2005,436,223
2006,651,261
2007,459,223
2008,672,291
2009,632,286
2010,760,268
2011,614,289
2012,829,294
2013,748,256
2014,923,260
2015,856,289
2016,1011,324
2017,936,367
2018,1383,396
2019,1250,406
2020,1113,496
2021,1394,541
2022,1723,541
2023,1484,643
2024,1110,651
2025,244,199
